Data Source,Component,Source,Relationship,Target,EventID,Event Name,Event Platform,Log Provider,Log Channel,Audit Category,Audit Sub-Category,Enable Commands,GPO Audit Policy
WMI,wmi deletion,user,deleted,wmi object,19,WmiEvent (WmiEventFilter activity detected).,Windows,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,WmiEvent,,<WmiEvent onmatch='exclude' />,
WMI,wmi deletion,user,deleted,wmi object,20,WmiEvent (WmiEventConsumer activity detected).,Windows,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,WmiEvent,,<WmiEvent onmatch='exclude' />,
WMI,wmi deletion,user,deleted,wmi object,21,WmiEvent (WmiEventConsumerToFilter activity detected).,Windows,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,WmiEvent,,<WmiEvent onmatch='exclude' />,
Scheduled Job,scheduled job modification,user,disabled,scheduled job,4701,A scheduled task was disabled.,Windows,Microsoft-Windows-Security-Auditing,Security,Object Access,Other Object Access Events,auditpol /set /subcategory:Other Object Access Events /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Object Access -> Audit Other Object Access Events
User Account,user account modification,user,disabled,user,4725,A user account was disabled.,Windows,Microsoft-Windows-Security-Auditing,Security,Account Management,User Account Management,auditpol /set /subcategory:User Account Management /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Account Management -> Audit User Account Management
Scheduled Job,scheduled job modification,user,enabled,scheduled job,4700,A scheduled task was enabled.,Windows,Microsoft-Windows-Security-Auditing,Security,Object Access,Other Object Access Events,auditpol /set /subcategory:Other Object Access Events /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Object Access -> Audit Other Object Access Events
User Account,user account modification,user,enabled,user,4722,A user account was enabled.,Windows,Microsoft-Windows-Security-Auditing,Security,Account Management,User Account Management,auditpol /set /subcategory:User Account Management /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Account Management -> Audit User Account Management
Command,command execution,user,executed,command,4688,A new process has been created.,Windows,Microsoft-Windows-Security-Auditing,Security,Detailed Tracking,Process Creation,auditpol /set /subcategory:Process Creation /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Detailed Tracking -> Audit Process Creation
Command,command execution,user,executed,command,1,Process Creation.,Windows,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,ProcessCreate,,<ProcessCreate onmatch='exclude' />,
Command,command execution,user,executed,command,4103,Module logging.,Windows,Microsoft-Windows-PowerShell,Microsoft-Windows-PowerShell/Operational,Executing Pipeline,,,
Command,command execution,user,executed,command,DeviceProcessEvents,DeviceProcessEvents,Windows,Windows Defender Advanced Threat Protection,,,,,
User Account,user account modification,user,granted access to,user,4717,System security access was granted to an account.,Windows,Microsoft-Windows-Security-Auditing,Security,Policy Change,Authentication Policy Change,auditpol /set /subcategory:Authentication Policy Change /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Policy Change -> Audit Authentication Policy Change
Firewall,firewall enumeration,user,listed,firewall rule,ListRuleGroups,ListRuleGroups,AWS,CloudTrail,,AwsApiCall,,,
User Account,user account modification,user,locked,user,4740,A user account was locked out.,Windows,Microsoft-Windows-Security-Auditing,Security,Account Management,User Account Management,auditpol /set /subcategory:User Account Management /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Account Management -> Audit User Account Management
Active Directory,active directory object modification,user,modified,ad object,5136,A directory service object was modified.,Windows,Microsoft-Windows-Security-Auditing,Security,DS Access,Directory Service Changes,auditpol /set /subcategory:Directory Service Changes /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> DS Access -> Audit Directory Service Changes
Active Directory,active directory object modification,user,modified,ad object,5139,A directory service object was moved.,Windows,Microsoft-Windows-Security-Auditing,Security,DS Access,Directory Service Changes,auditpol /set /subcategory:Directory Service Changes /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> DS Access -> Audit Directory Service Changes
Cloud Service,cloud service modification,user,modified,cloud service,UpdateTrail,UpdateTrail,AWS,CloudTrail,,AwsApiCall,,,
File,file modification,user,modified,file,4670,Permissions on an object were changed.,Windows,Microsoft-Windows-Security-Auditing,Security,Object Access,File System,auditpol /set /subcategory:File System /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Object Access -> Audit File System
File,file modification,user,modified,file,DeviceFileEvents,DeviceFileEvents,Windows,Windows Defender Advanced Threat Protection,,,,,
Firewall,firewall rule modification,user,modified,firewall rule,2005,A rule has been modified in the Windows Defender Firewall exception list.,Windows,Microsoft-Windows-Windows Firewall With Advanced Security,Microsoft-Windows-Windows Firewall With Advanced Security/Firewall,,,,
Firewall,firewall rule modification,user,modified,firewall rule,UpdateRuleGroup,UpdateRuleGroup,AWS,CloudTrail,,AwsApiCall,,,
Instance,instance modification,user,modified,instance,ModifyInstanceAttribute,ModifyInstanceAttribute,AWS,CloudTrail,,AwsApiCall,,,
Network Share,network share modification,user,modified,network share,5143,A network share object was modified.,Windows,Microsoft-Windows-Security-Auditing,Security,Object Access,File Share,auditpol /set /subcategory:File Share /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Object Access -> Audit File Share
Scheduled Job,scheduled job modification,user,modified,schedule job,4702,A scheduled task was updated.,Windows,Microsoft-Windows-Security-Auditing,Security,Object Access,Other Object Access Events,auditpol /set /subcategory:Other Object Access Events /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Object Access -> Audit Other Object Access Events
User Account,user account modification,user,modified,user,4738,A user account was changed.,Windows,Microsoft-Windows-Security-Auditing,Security,Account Management,User Account Management,auditpol /set /subcategory:User Account Management /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Account Management -> Audit User Account Management
User Account,user account modification,user,modified,user,4781,The name of an account was changed.,Windows,Microsoft-Windows-Security-Auditing,Security,Account Management,User Account Management,auditpol /set /subcategory:User Account Management /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Account Management -> Audit User Account Management
Logon Session,logon session creation,user,created logon session from,ip,4624,An account was successfully logged on.,Windows,Microsoft-Windows-Security-Auditing,Security,Logon/Logoff,Logon,auditpol /set /subcategory:Logon /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Logon/Logoff -> Audit Logon
Logon Session,logon session creation,user,created logon session from,ip,4778,A session was reconnected to a Window Station.,Windows,Microsoft-Windows-Security-Auditing,Security,Logon/Logoff,Other Logon/Logoff Events,auditpol /set /subcategory:Other Logon/Logoff Events /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Logon/Logoff -> Audit Other Logon/Logoff Events
Logon Session,logon session creation,user,created logon session from,ip,DeviceLogonEvents,DeviceLogonEvents,Windows,Windows Defender Advanced Threat Protection,,,,,
Logon Session,logon session creation,user,created logon session from,port,4624,An account was successfully logged on.,Windows,Microsoft-Windows-Security-Auditing,Security,Logon/Logoff,Logon,auditpol /set /subcategory:Logon /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Logon/Logoff -> Audit Logon
Logon Session,logon session creation,user,created logon session from,port,DeviceLogonEvents,DeviceLogonEvents,Windows,Windows Defender Advanced Threat Protection,,,,,
Network Share,network share creation,user,created,network share,5142,A network share object was added.,Windows,Microsoft-Windows-Security-Auditing,Security,Object Access,File Share,auditpol /set /subcategory:File Share /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Object Access -> Audit File Share
Process,process creation,user,created,process,4688,A new process has been created.,Windows,Microsoft-Windows-Security-Auditing,Security,Detailed Tracking,Process Creation,auditpol /set /subcategory:Process Creation /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Detailed Tracking -> Audit Process Creation
Process,process creation,user,created,process,1,Process Creation.,Windows,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,ProcessCreate,,<ProcessCreate onmatch='exclude' />,
Process,process creation,user,created,process,DeviceProcessEvents,DeviceProcessEvents,Windows,Windows Defender Advanced Threat Protection,,,,,
Scheduled Job,scheduled job creation,user,created,scheduled job,4698,A scheduled task was created.,Windows,Microsoft-Windows-Security-Auditing,Security,Object Access,Other Object Access Events,auditpol /set /subcategory:Other Object Access Events /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Object Access -> Audit Other Object Access Events
Service,service creation,user,created,service,4697,A service was installed in the system.,Windows,Microsoft-Windows-Security-Auditing,Security,System,Security System Extension,auditpol /set /subcategory:Security System Extension /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> System -> Audit Security System Extension
Service,service creation,user,created,service,7045,A new service was installed in the system.,Windows,Service Control Manager,System,,,,
User Account,user account creation,user,created,user,4720,A user account was created.,Windows,Microsoft-Windows-Security-Auditing,Security,Account Management,User Account Management,auditpol /set /subcategory:User Account Management /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Account Management -> Audit User Account Management
WMI,wmi creation,user,created,wmi object,19,WmiEvent (WmiEventFilter activity detected).,Windows,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,WmiEvent,,<WmiEvent onmatch='exclude' />,
WMI,wmi creation,user,created,wmi object,20,WmiEvent (WmiEventConsumer activity detected).,Windows,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,WmiEvent,,<WmiEvent onmatch='exclude' />,
WMI,wmi creation,user,created,wmi object,21,WmiEvent (WmiEventConsumerToFilter activity detected).,Windows,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,WmiEvent,,<WmiEvent onmatch='exclude' />,
Active Directory,active directory object deletion,user,deleted,ad object,5141,A directory service object was deleted.,Windows,Microsoft-Windows-Security-Auditing,Security,DS Access,Directory Service Changes,auditpol /set /subcategory:Directory Service Changes /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> DS Access -> Audit Directory Service Changes
File,file deletion,user,deleted,file,23,File Delete archived.,Windows,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,FileDelete,,<FileDelete onmatch='exclude' />,
File,file deletion,user,deleted,file,26,File Delete logged.,Windows,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,FileDeleteDetected,,<FileDeleteDetected onmatch='exclude' />,
File,file deletion,user,deleted,file,4660,An object was deleted.,Windows,Microsoft-Windows-Security-Auditing,Security,Object Access,File System,auditpol /set /subcategory:File System /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Object Access -> Audit File System
Network Share,network share deletion,user,deleted,network share,5144,A network share object was deleted.,Windows,Microsoft-Windows-Security-Auditing,Security,Object Access,File Share,auditpol /set /subcategory:File Share /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Object Access -> Audit File Share
Scheduled Job,scheduled job deletion,user,deleted,scheduled job,4699,A scheduled task was deleted.,Windows,Microsoft-Windows-Security-Auditing,Security,Object Access,Other Object Access Events,auditpol /set /subcategory:Other Object Access Events /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Object Access -> Audit Other Object Access Events
User Account,user account deletion,user,deleted,user,4726,A user account was deleted.,Windows,Microsoft-Windows-Security-Auditing,Security,Account Management,User Account Management,auditpol /set /subcategory:User Account Management /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Account Management -> Audit User Account Management
User Account,user account authentication,user,attempted to authenticate from,port,4624,An account was successfully logged on.,Windows,Microsoft-Windows-Security-Auditing,Security,Logon/Logoff,Logon,auditpol /set /subcategory:Logon /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Logon/Logoff -> Audit Logon
User Account,user account authentication,user,attempted to authenticate from,port,4625,An account failed to log on.,Windows,Microsoft-Windows-Security-Auditing,Security,Logon/Logoff,Account Lockout,auditpol /set /subcategory:Account Lockout /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Logon/Logoff -> Audit Account Lockout
User Account,user account authentication,user,attempted to authenticate from,port,4648,A logon was attempted using explicit credentials.,Windows,Microsoft-Windows-Security-Auditing,Security,Logon/Logoff,Logon,auditpol /set /subcategory:Logon /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Logon/Logoff -> Audit Logon
User Account,user account authentication,user,attempted to authenticate to,application,ConsoleLogin,ConsoleLogin,AWS,CloudTrail,,AwsConsoleSignin,,,
Network Traffic,network connection creation,user,connected from,host,3,Network connection.,Windows,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,NetworkConnect,,<NetworkConnect onmatch='exclude' />,
Network Traffic,network connection creation,user,connected from,ip,3,Network connection.,Windows,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,NetworkConnect,,<NetworkConnect onmatch='exclude' />,
Network Traffic,network connection creation,user,connected from,port,3,Network connection.,Windows,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,NetworkConnect,,<NetworkConnect onmatch='exclude' />,
Network Traffic,network connection creation,user,connected to,host,3,Network connection.,Windows,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,NetworkConnect,,<NetworkConnect onmatch='exclude' />,
Network Traffic,network connection creation,user,connected to,ip,3,Network connection.,Windows,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,NetworkConnect,,<NetworkConnect onmatch='exclude' />,
Network Traffic,network connection creation,user,connected to,port,3,Network connection.,Windows,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,NetworkConnect,,<NetworkConnect onmatch='exclude' />,
Active Directory,active directory object creation,user,created,ad object,5137,A directory service object was created.,Windows,Microsoft-Windows-Security-Auditing,Security,DS Access,Directory Service Changes,auditpol /set /subcategory:Directory Service Changes /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> DS Access -> Audit Directory Service Changes
Instance,instance creation,user,created,instance,RunInstances,RunInstances,AWS,CloudTrail,,AwsApiCall,,,
Process,process modification,process,modified,process,8,CreateRemoteThread.,Windows,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,CreateRemoteThread,,<CreateRemoteThread onmatch='exclude' />,
Windows Registry,windows registry key modification,process,modified,windows registry key,13,RegistryEvent (Value Set).,Windows,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,RegistryEvent,,<RegistryEvent onmatch='exclude' />,
Windows Registry,windows registry key modification,process,modified,windows registry key,14,RegistryEvent (Key and Value Rename).,Windows,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,RegistryEvent,,<RegistryEvent onmatch='exclude' />,
Windows Registry,windows registry key modification,process,modified,windows registry key,4670,Permissions on an object were changed.,Windows,Microsoft-Windows-Security-Auditing,Security,Object Access,Registry,auditpol /set /subcategory:Registry /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Object Access -> Audit Registry
Windows Registry,windows registry key modification,process,modified,windows registry key,DeviceRegistryEvents,DeviceRegistryEvents,Windows,Windows Defender Advanced Threat Protection,,,,,
Windows Registry,windows registry key modification,process,modified,windows registry key value,13,RegistryEvent (Value Set).,Windows,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,RegistryEvent,,<RegistryEvent onmatch='exclude' />,
Windows Registry,windows registry key modification,process,modified,windows registry key value,14,RegistryEvent (Key and Value Rename).,Windows,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,RegistryEvent,,<RegistryEvent onmatch='exclude' />,
Windows Registry,windows registry key modification,process,modified,windows registry key value,4657,A registry value was modified.,Windows,Microsoft-Windows-Security-Auditing,Security,Object Access,Registry,auditpol /set /subcategory:Registry /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Object Access -> Audit Registry
Windows Registry,windows registry key modification,process,modified,windows registry key value,DeviceRegistryEvents,DeviceRegistryEvents,Windows,Windows Defender Advanced Threat Protection,,,,,
File,file access,process,requested access to,file,4656,A handle to an object was requested.,Windows,Microsoft-Windows-Security-Auditing,Security,Object Access,File System,auditpol /set /subcategory:File System /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Object Access -> Audit File System
Process,process access,process,requested access to,process,4656,A handle to an object was requested.,Windows,Microsoft-Windows-Security-Auditing,Security,Object Access,Kernel Object,auditpol /set /subcategory:Kernel Object /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Object Access -> Audit Kernel Object
Windows Registry,windows registry key access,process,requested access to,windows registry key,4656,A handle to an object was requested.,Windows,Microsoft-Windows-Security-Auditing,Security,Object Access,Registry,auditpol /set /subcategory:Registry /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Object Access -> Audit Registry
Service,service metadata,service,started,,4,Sysmon service state changed.,Windows,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,ServiceStateChange,,<ServiceStateChange onmatch='exclude' />,
Service,service metadata,service,stopped,,4,Sysmon service state changed.,Windows,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,ServiceStateChange,,<ServiceStateChange onmatch='exclude' />,
Active Directory,active directory object access,user,accessed,ad object,4662,An operation was performed on an object.,Windows,Microsoft-Windows-Security-Auditing,Security,DS Access,Directory Service Access,auditpol /set /subcategory:Directory Service Access /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> DS Access -> Audit Directory Service Access
File,file access,user,accessed,file,4663,An attempt was made to access an object.,Windows,Microsoft-Windows-Security-Auditing,Security,Object Access,File System,auditpol /set /subcategory:File System /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Object Access -> Audit File System
Windows Registry,windows registry key access,user,accessed,windows registry key,4663,An attempt was made to access an object.,Windows,Microsoft-Windows-Security-Auditing,Security,Object Access,Registry,auditpol /set /subcategory:Registry /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Object Access -> Audit Registry
Firewall,firewall rule modification,user,added,firewall rule,2004,A rule has been added to the Windows Defender Firewall exception list,Windows,Microsoft-Windows-Windows Firewall With Advanced Security,Microsoft-Windows-Windows Firewall With Advanced Security/Firewall,,,,
Firewall,firewall rule modification,user,added,firewall rule,CreateRuleGroup,CreateRuleGroup,AWS,CloudTrail,,AwsApiCall,,,
Network Share,network share access,user,attempted to access,network share,5140,A network share object was accessed.,Windows,Microsoft-Windows-Security-Auditing,Security,Object Access,File Share,auditpol /set /subcategory:File Share /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Object Access -> Audit File Share
Network Share,network share access,user,attempted to access,network share,5145,A network share object was checked to see whether client can be granted desired access.,Windows,Microsoft-Windows-Security-Auditing,Security,Object Access,Detailed File Share,auditpol /set /subcategory:Detailed File Share /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Object Access -> Audit Detailed File Share
Logon Session,logon session termination,user,terminated,logon session,4634,An account was logged off.,Windows,Microsoft-Windows-Security-Auditing,Security,Logon/Logoff,Logoff,auditpol /set /subcategory:Logoff /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Logon/Logoff -> Audit Logoff
Process,process termination,user,terminated,process,4689,A process has exited.,Windows,Microsoft-Windows-Security-Auditing,Security,Detailed Tracking,Process Termination,auditpol /set /subcategory:Process Termination /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Detailed Tracking -> Audit Process Termination
User Account,user account modification,user,unlocked,user,4767,A user account was unlocked.,Windows,Microsoft-Windows-Security-Auditing,Security,Account Management,User Account Management,auditpol /set /subcategory:User Account Management /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Account Management -> Audit User Account Management
Network Traffic,network connection creation,host,permitted listener on,ip,5154,The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections.,Windows,Microsoft-Windows-Security-Auditing,Security,Object Access,Filtering Platform Connection,auditpol /set /subcategory:Filtering Platform Connection /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Object Access -> Audit Filtering Platform Connection
Network Traffic,network connection creation,process,attempted to bind on,port,5159,The Windows Filtering Platform has blocked a bind to a local port.,Windows,Microsoft-Windows-Security-Auditing,Security,Object Access,Filtering Platform Connection,auditpol /set /subcategory:Filtering Platform Connection /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Object Access -> Audit Filtering Platform Connection
Process,process creation,process,created,process,4688,A new process has been created.,Windows,Microsoft-Windows-Security-Auditing,Security,Detailed Tracking,Process Creation,auditpol /set /subcategory:Process Creation /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Detailed Tracking -> Audit Process Creation
Process,process creation,process,created,process,1,Process Creation.,Windows,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,ProcessCreate,,<ProcessCreate onmatch='exclude' />,
Process,process creation,process,created,process,DeviceProcessEvents,DeviceProcessEvents,Windows,Windows Defender Advanced Threat Protection,,,,,
User Account,user account authentication,user,attempted to authenticate from,ip,4624,An account was successfully logged on.,Windows,Microsoft-Windows-Security-Auditing,Security,Logon/Logoff,Logon,auditpol /set /subcategory:Logon /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Logon/Logoff -> Audit Logon
User Account,user account authentication,user,attempted to authenticate from,ip,4625,An account failed to log on.,Windows,Microsoft-Windows-Security-Auditing,Security,Logon/Logoff,Account Lockout,auditpol /set /subcategory:Account Lockout /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Logon/Logoff -> Audit Account Lockout
User Account,user account authentication,user,attempted to authenticate from,ip,4648,A logon was attempted using explicit credentials.,Windows,Microsoft-Windows-Security-Auditing,Security,Logon/Logoff,Logon,auditpol /set /subcategory:Logon /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Logon/Logoff -> Audit Logon
User Account,user account authentication,user,attempted to authenticate from,ip,ConsoleLogin,ConsoleLogin,AWS,CloudTrail,,AwsConsoleSignin,,,
