Data Source,Component,Source,Relationship,Target,EventID,Event Name,Event Platform,Log Provider,Log Channel,Audit Category,Audit Sub-Category,Enable Commands,GPO Audit Policy
Logon Session,logon session creation,user,created,logon session,4624,An account was successfully logged on.,Windows,Microsoft-Windows-Security-Auditing,Security,Logon/Logoff,Logon,auditpol /set /subcategory:Logon /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Logon/Logoff -> Audit Logon
Logon Session,logon session creation,user,created,logon session,4778,A session was reconnected to a Window Station.,Windows,Microsoft-Windows-Security-Auditing,Security,Logon/Logoff,Other Logon/Logoff Events,auditpol /set /subcategory:Other Logon/Logoff Events /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Logon/Logoff -> Audit Other Logon/Logoff Events
Logon Session,logon session creation,user,created,logon session,4964,Special groups have been assigned to a new logon.,Windows,Microsoft-Windows-Security-Auditing,Security,Logon/Logoff,Special Logon,auditpol /set /subcategory:Special Logon /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Logon/Logoff -> Audit Special Logon
Logon Session,logon session creation,user,created,logon session,DeviceLogonEvents,DeviceLogonEvents,Windows,Windows Defender Advanced Threat Protection,,,,,
Windows Registry,windows registry key deletion,user,deleted,windows registry key,4660,An object was deleted.,Windows,Microsoft-Windows-Security-Auditing,Security,Object Access,Registry,auditpol /set /subcategory:Registry /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Object Access -> Audit Registry
Windows Registry,windows registry key modification,user,modified,windows registry key,4670,Permissions on an object were changed.,Windows,Microsoft-Windows-Security-Auditing,Security,Object Access,Registry,auditpol /set /subcategory:Registry /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Object Access -> Audit Registry
Windows Registry,windows registry key modification,user,modified,windows registry key,DeviceRegistryEvents,DeviceRegistryEvents,Windows,Windows Defender Advanced Threat Protection,,,,,
Firewall,firewall metadata,user,retrieved information about,firewall,DescribeFirewall,DescribeFirewall,AWS,CloudTrail,,AwsApiCall,,,
Firewall,firewall metadata,user,retrieved information about,firewall,DescribeFirewallPolicy,DescribeFirewallPolicy,AWS,CloudTrail,,AwsApiCall,,,
Process,process creation,process,created,thread,8,CreateRemoteThread.,Windows,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,CreateRemoteThread,,<CreateRemoteThread onmatch='exclude' />,
Windows Registry,windows registry key creation,process,created,windows registry key,12,RegistryEvent (Object create and delete).,Windows,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,RegistryEvent,,<RegistryEvent onmatch='exclude' />,
Windows Registry,windows registry key creation,process,created,windows registry key,DeviceRegistryEvents,DeviceRegistryEvents,Windows,Windows Defender Advanced Threat Protection,,,,,
Windows Registry,windows registry key creation,process,created,windows registry key value,12,RegistryEvent (Object create and delete).,Windows,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,RegistryEvent,,<RegistryEvent onmatch='exclude' />,
Windows Registry,windows registry key creation,process,created,windows registry key value,DeviceRegistryEvents,DeviceRegistryEvents,Windows,Windows Defender Advanced Threat Protection,,,,,
File,file deletion,process,deleted,file,23,File Delete archived.,Windows,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,FileDelete,,<FileDelete onmatch='exclude' />,
File,file deletion,process,deleted,file,26,File Delete logged.,Windows,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,FileDeleteDetected,,<FileDeleteDetected onmatch='exclude' />,
File,file deletion,process,deleted,file,4660,An object was deleted.,Windows,Microsoft-Windows-Security-Auditing,Security,Object Access,File System,auditpol /set /subcategory:File System /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Object Access -> Audit File System
Windows Registry,windows registry key deletion,process,deleted,windows registry key,12,RegistryEvent (Object create and delete).,Windows,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,RegistryEvent,,<RegistryEvent onmatch='exclude' />,
Windows Registry,windows registry key deletion,process,deleted,windows registry key,4660,An object was deleted.,Windows,Microsoft-Windows-Security-Auditing,Security,Object Access,Registry,auditpol /set /subcategory:Registry /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Object Access -> Audit Registry
Windows Registry,windows registry key deletion,process,deleted,windows registry key value,12,RegistryEvent (Object create and delete).,Windows,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,RegistryEvent,,<RegistryEvent onmatch='exclude' />,
Process,OS api execution,process,executed,api call,8,CreateRemoteThread.,Windows,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,CreateRemoteThread,,<CreateRemoteThread onmatch='exclude' />,
Command,command execution,process,executed,command,4688,A new process has been created.,Windows,Microsoft-Windows-Security-Auditing,Security,Detailed Tracking,Process Creation,auditpol /set /subcategory:Process Creation /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Detailed Tracking -> Audit Process Creation
Command,command execution,process,executed,command,1,Process Creation.,Windows,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,ProcessCreate,,<ProcessCreate onmatch='exclude' />,
Command,command execution,process,executed,command,4103,Module logging.,Windows,Microsoft-Windows-PowerShell,Microsoft-Windows-PowerShell/Operational,Executing Pipeline,,,
Command,command execution,process,executed,command,DeviceProcessEvents,DeviceProcessEvents,Windows,Windows Defender Advanced Threat Protection,,,,,
Script,script execution,process,executed,Script,4103,Module logging.,Windows,Microsoft-Windows-PowerShell,Microsoft-Windows-PowerShell/Operational,Executing Pipeline,,,
Script,script execution,process,executed,Script,4104,Script Block Logging.,Windows,Microsoft-Windows-PowerShell,Microsoft-Windows-PowerShell/Operational,Execute a Remote Command,,,
Network Traffic,network connection creation,process,listened on,port,5154,The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections.,Windows,Microsoft-Windows-Security-Auditing,Security,Object Access,Filtering Platform Connection,auditpol /set /subcategory:Filtering Platform Connection /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Object Access -> Audit Filtering Platform Connection
Module,module load,process,loaded,module,7,Image loaded.,Windows,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,ImageLoad,,<ImageLoad onmatch='exclude' />,
Module,module load,process,loaded,module,DeviceImageLoadEvents,DeviceImageLoadEvents,Windows,Windows Defender Advanced Threat Protection,,,,,
File,file modification,process,modified,file,2,A process changed a file creation time.,Windows,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,FileCreateTime,,<FileCreateTime onmatch='exclude' />,
File,file modification,process,modified,file,11,FileCreate.,Windows,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,FileCreate,,<FileCreate onmatch='exclude' />,
File,file modification,process,modified,file,4670,Permissions on an object were changed.,Windows,Microsoft-Windows-Security-Auditing,Security,Object Access,File System,auditpol /set /subcategory:File System /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Object Access -> Audit File System
File,file modification,process,modified,file,DeviceFileEvents,DeviceFileEvents,Windows,Windows Defender Advanced Threat Protection,,,,,
Network Traffic,network connection creation,process,attempted to listen on,port,5155,The Windows Filtering Platform has blocked an application or service from listening on a port for incoming connections.,Windows,Microsoft-Windows-Security-Auditing,Security,Object Access,Filtering Platform Connection,auditpol /set /subcategory:Filtering Platform Connection /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Object Access -> Audit Filtering Platform Connection
Network Traffic,network connection creation,process,bound to,port,5158,The Windows Filtering Platform has permitted a bind to a local port.,Windows,Microsoft-Windows-Security-Auditing,Security,Object Access,Filtering Platform Connection,auditpol /set /subcategory:Filtering Platform Connection /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Object Access -> Audit Filtering Platform Connection
Network Traffic,network connection creation,process,connected from,host,3,Network connection.,Windows,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,NetworkConnect,,<NetworkConnect onmatch='exclude' />,
Network Traffic,network connection creation,process,connected from,ip,5156,The Windows Filtering Platform has permitted a connection.,Windows,Microsoft-Windows-Security-Auditing,Security,Object Access,Filtering Platform Connection,auditpol /set /subcategory:Filtering Platform Connection /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Object Access -> Audit Filtering Platform Connection
Network Traffic,network connection creation,process,connected from,ip,3,Network connection.,Windows,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,NetworkConnect,,<NetworkConnect onmatch='exclude' />,
Network Traffic,network connection creation,process,connected from,port,5156,The Windows Filtering Platform has permitted a connection.,Windows,Microsoft-Windows-Security-Auditing,Security,Object Access,Filtering Platform Connection,auditpol /set /subcategory:Filtering Platform Connection /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Object Access -> Audit Filtering Platform Connection
Network Traffic,network connection creation,process,connected from,port,3,Network connection.,Windows,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,NetworkConnect,,<NetworkConnect onmatch='exclude' />,
Network Traffic,network connection creation,process,connected to,host,3,Network connection.,Windows,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,NetworkConnect,,<NetworkConnect onmatch='exclude' />,
Network Traffic,network connection creation,process,connected to,ip,5156,The Windows Filtering Platform has permitted a connection.,Windows,Microsoft-Windows-Security-Auditing,Security,Object Access,Filtering Platform Connection,auditpol /set /subcategory:Filtering Platform Connection /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Object Access -> Audit Filtering Platform Connection
Network Traffic,network connection creation,process,connected to,ip,3,Network connection.,Windows,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,NetworkConnect,,<NetworkConnect onmatch='exclude' />,
Network Traffic,network connection creation,process,connected to,port,5156,The Windows Filtering Platform has permitted a connection.,Windows,Microsoft-Windows-Security-Auditing,Security,Object Access,Filtering Platform Connection,auditpol /set /subcategory:Filtering Platform Connection /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Object Access -> Audit Filtering Platform Connection
Network Traffic,network connection creation,process,connected to,port,3,Network connection.,Windows,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,NetworkConnect,,<NetworkConnect onmatch='exclude' />,
File,file creation,process,created,file,11,FileCreate.,Windows,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,FileCreate,,<FileCreate onmatch='exclude' />,
File,file creation,process,created,file,DeviceFileEvents,DeviceFileEvents,Windows,Windows Defender Advanced Threat Protection,,,,,
Network Traffic,network connection creation,host,permitted listener on,port,5154,The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections.,Windows,Microsoft-Windows-Security-Auditing,Security,Object Access,Filtering Platform Connection,auditpol /set /subcategory:Filtering Platform Connection /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Object Access -> Audit Filtering Platform Connection
Network Traffic,network connection creation,host,permitted listener on,process,5154,The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections.,Windows,Microsoft-Windows-Security-Auditing,Security,Object Access,Filtering Platform Connection,auditpol /set /subcategory:Filtering Platform Connection /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Object Access -> Audit Filtering Platform Connection
File,file access,process,accessed,file,4663,An attempt was made to access an object.,Windows,Microsoft-Windows-Security-Auditing,Security,Object Access,File System,auditpol /set /subcategory:File System /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Object Access -> Audit File System
Process,process access,process,accessed,process,10,ProcessAccess.,Windows,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,ProcessAccess,,<ProcessAccess onmatch='exclude' />,
Process,process access,process,accessed,process,4663,An attempt was made to access an object.,Windows,Microsoft-Windows-Security-Auditing,Security,Object Access,Kernel Object,auditpol /set /subcategory:Kernel Object /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Object Access -> Audit Kernel Object
Windows Registry,windows registry key access,process,accessed,windows registry key,4663,An attempt was made to access an object.,Windows,Microsoft-Windows-Security-Auditing,Security,Object Access,Registry,auditpol /set /subcategory:Registry /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Object Access -> Audit Registry
Network Traffic,network connection creation,process,attempted connection from,ip,5157,The Windows Filtering Platform has blocked a connection.,Windows,Microsoft-Windows-Security-Auditing,Security,Object Access,Filtering Platform Connection,auditpol /set /subcategory:Filtering Platform Connection /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Object Access -> Audit Filtering Platform Connection
Network Traffic,network connection creation,process,attempted connection from,port,5157,The Windows Filtering Platform has blocked a connection.,Windows,Microsoft-Windows-Security-Auditing,Security,Object Access,Filtering Platform Connection,auditpol /set /subcategory:Filtering Platform Connection /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Object Access -> Audit Filtering Platform Connection
Network Traffic,network connection creation,process,attempted connection to,ip,5157,The Windows Filtering Platform has blocked a connection.,Windows,Microsoft-Windows-Security-Auditing,Security,Object Access,Filtering Platform Connection,auditpol /set /subcategory:Filtering Platform Connection /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Object Access -> Audit Filtering Platform Connection
Network Traffic,network connection creation,process,attempted connection to,port,5157,The Windows Filtering Platform has blocked a connection.,Windows,Microsoft-Windows-Security-Auditing,Security,Object Access,Filtering Platform Connection,auditpol /set /subcategory:Filtering Platform Connection /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Object Access -> Audit Filtering Platform Connection
Network Traffic,network connection creation,host,blocked connection from,ip,5157,The Windows Filtering Platform has blocked a connection.,Windows,Microsoft-Windows-Security-Auditing,Security,Object Access,Filtering Platform Connection,auditpol /set /subcategory:Filtering Platform Connection /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Object Access -> Audit Filtering Platform Connection
Network Traffic,network connection creation,host,blocked connection from,port,5157,The Windows Filtering Platform has blocked a connection.,Windows,Microsoft-Windows-Security-Auditing,Security,Object Access,Filtering Platform Connection,auditpol /set /subcategory:Filtering Platform Connection /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Object Access -> Audit Filtering Platform Connection
Network Traffic,network connection creation,host,blocked connection from,process,5157,The Windows Filtering Platform has blocked a connection.,Windows,Microsoft-Windows-Security-Auditing,Security,Object Access,Filtering Platform Connection,auditpol /set /subcategory:Filtering Platform Connection /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Object Access -> Audit Filtering Platform Connection
Network Traffic,network connection creation,host,blocked connection to,ip,5157,The Windows Filtering Platform has blocked a connection.,Windows,Microsoft-Windows-Security-Auditing,Security,Object Access,Filtering Platform Connection,auditpol /set /subcategory:Filtering Platform Connection /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Object Access -> Audit Filtering Platform Connection
Network Traffic,network connection creation,host,blocked connection to,port,5157,The Windows Filtering Platform has blocked a connection.,Windows,Microsoft-Windows-Security-Auditing,Security,Object Access,Filtering Platform Connection,auditpol /set /subcategory:Filtering Platform Connection /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Object Access -> Audit Filtering Platform Connection
Network Traffic,network connection creation,host,blocked connection to,process,5157,The Windows Filtering Platform has blocked a connection.,Windows,Microsoft-Windows-Security-Auditing,Security,Object Access,Filtering Platform Connection,auditpol /set /subcategory:Filtering Platform Connection /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Object Access -> Audit Filtering Platform Connection
Network Traffic,network connection creation,host,blocked connection to,process,5031,The Windows Firewall Service blocked an application from accepting incoming connections on the network.,Windows,Microsoft-Windows-Security-Auditing,Security,Object Access,Filtering Platform Connection,auditpol /set /subcategory:Filtering Platform Connection /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Object Access -> Audit Filtering Platform Connection
Network Traffic,network connection creation,host,blocked listener on,ip,5155,The Windows Filtering Platform has blocked an application or service from listening on a port for incoming connections.,Windows,Microsoft-Windows-Security-Auditing,Security,Object Access,Filtering Platform Connection,auditpol /set /subcategory:Filtering Platform Connection /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Object Access -> Audit Filtering Platform Connection
Network Traffic,network connection creation,host,blocked listener on,port,5155,The Windows Filtering Platform has blocked an application or service from listening on a port for incoming connections.,Windows,Microsoft-Windows-Security-Auditing,Security,Object Access,Filtering Platform Connection,auditpol /set /subcategory:Filtering Platform Connection /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Object Access -> Audit Filtering Platform Connection
Network Traffic,network connection creation,host,blocked listener on,process,5155,The Windows Filtering Platform has blocked an application or service from listening on a port for incoming connections.,Windows,Microsoft-Windows-Security-Auditing,Security,Object Access,Filtering Platform Connection,auditpol /set /subcategory:Filtering Platform Connection /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Object Access -> Audit Filtering Platform Connection
Network Traffic,network connection creation,host,blocked port bind on,ip,5159,The Windows Filtering Platform has blocked a bind to a local port.,Windows,Microsoft-Windows-Security-Auditing,Security,Object Access,Filtering Platform Connection,auditpol /set /subcategory:Filtering Platform Connection /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Object Access -> Audit Filtering Platform Connection
Network Traffic,network connection creation,host,blocked port bind on,port,5159,The Windows Filtering Platform has blocked a bind to a local port.,Windows,Microsoft-Windows-Security-Auditing,Security,Object Access,Filtering Platform Connection,auditpol /set /subcategory:Filtering Platform Connection /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Object Access -> Audit Filtering Platform Connection
Network Traffic,network connection creation,host,blocked port bind on,process,5159,The Windows Filtering Platform has blocked a bind to a local port.,Windows,Microsoft-Windows-Security-Auditing,Security,Object Access,Filtering Platform Connection,auditpol /set /subcategory:Filtering Platform Connection /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Object Access -> Audit Filtering Platform Connection
Windows Registry,windows registry key modification,user,modified,windows registry key value,4657,A registry value was modified.,Windows,Microsoft-Windows-Security-Auditing,Security,Object Access,Registry,auditpol /set /subcategory:Registry /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Object Access -> Audit Registry
Windows Registry,windows registry key modification,user,modified,windows registry key value,DeviceRegistryEvents,DeviceRegistryEvents,Windows,Windows Defender Advanced Threat Protection,,,,,
User Account,user account modification,user,removed access from,user,4718,System security access was removed from an account.,Windows,Microsoft-Windows-Security-Auditing,Security,Policy Change,Authentication Policy Change,auditpol /set /subcategory:Authentication Policy Change /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Policy Change -> Audit Authentication Policy Change
Firewall,firewall rule modification,user,removed,firewall rule,2006,A rule has been deleted in the Windows Defender Firewall exception list,Windows,Microsoft-Windows-Windows Firewall With Advanced Security,Microsoft-Windows-Windows Firewall With Advanced Security/Firewall,,,,
Firewall,firewall rule modification,user,removed,firewall rule,DeleteRuleGroup,DeleteRuleGroup,AWS,CloudTrail,,AwsApiCall,,,
Active Directory,active directory object access,user,requested access to,ad object,4661,A handle to an object was requested.,Windows,Microsoft-Windows-Security-Auditing,Security,DS Access,Directory Service Access,auditpol /set /subcategory:Directory Service Access /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> DS Access -> Audit Directory Service Access
File,file access,user,requested access to,file,4656,A handle to an object was requested.,Windows,Microsoft-Windows-Security-Auditing,Security,Object Access,File System,auditpol /set /subcategory:File System /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Object Access -> Audit File System
File,file access,user,requested access to,file,4661,A handle to an object was requested.,Windows,Microsoft-Windows-Security-Auditing,Security,Object Access,SAM,auditpol /set /subcategory:SAM /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Object Access -> Audit SAM
Service,service access,user,requested access to,service,4656,A handle to an object was requested.,Windows,Microsoft-Windows-Security-Auditing,Security,Object Access,Other Object Access Events,auditpol /set /subcategory:Other Object Access Events /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Object Access -> Audit Other Object Access Events
Windows Registry,windows registry key access,user,requested access to,windows registry key,4656,A handle to an object was requested.,Windows,Microsoft-Windows-Security-Auditing,Security,Object Access,Registry,auditpol /set /subcategory:Registry /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Object Access -> Audit Registry
Active Directory,active directory credential request,user,requested,ad credential,4768,A Kerberos authentication ticket (TGT) was requested.,Windows,Microsoft-Windows-Security-Auditing,Security,Account Logon,Kerberos Authentication Service,auditpol /set /subcategory:Kerberos Authentication Service /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Account Logon -> Audit Kerberos Authentication Service
Active Directory,active directory credential request,user,requested,ad credential,4769,A Kerberos service ticket was requested.,Windows,Microsoft-Windows-Security-Auditing,Security,Account Logon,Kerberos Service Ticket Operations,auditpol /set /subcategory:Kerberos Service Ticket Operations /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Account Logon -> Audit Kerberos Service Ticket Operations
Cloud Service,cloud service metadata,user,retrieved information about,cloud service,GetTrail,GetTrail,AWS,CloudTrail,,AwsApiCall,,,
Cloud Service,cloud service metadata,user,retrieved information about,cloud service,GetTrailStatus,GetTrailStatus,AWS,CloudTrail,,AwsApiCall,,,
Cloud Service,cloud service metadata,user,retrieved information about,cloud service,DescribeTrails,DescribeTrails,AWS,CloudTrail,,AwsApiCall,,,
Cloud Service,cloud service metadata,user,retrieved information about,cloud service,GetEventSelectors,GetEventSelectors,AWS,CloudTrail,,AwsApiCall,,,
Cloud Service,cloud service metadata,user,retrieved information about,cloud service,GetInsightSelectors,GetInsightSelectors,AWS,CloudTrail,,AwsApiCall,,,
Cloud Service,cloud service metadata,user,retrieved information about cloud service from,ip,GetTrail,GetTrail,AWS,CloudTrail,,AwsApiCall,,,
Cloud Service,cloud service metadata,user,retrieved information about cloud service from,ip,GetTrailStatus,GetTrailStatus,AWS,CloudTrail,,AwsApiCall,,,
Cloud Service,cloud service metadata,user,retrieved information about cloud service from,ip,DescribeTrails,DescribeTrails,AWS,CloudTrail,,AwsApiCall,,,
Cloud Service,cloud service metadata,user,retrieved information about cloud service from,ip,GetEventSelectors,GetEventSelectors,AWS,CloudTrail,,AwsApiCall,,,
Cloud Service,cloud service metadata,user,retrieved information about cloud service from,ip,GetInsightSelectors,GetInsightSelectors,AWS,CloudTrail,,AwsApiCall,,,
